customer.SeniorCitizen,customer.tenure,account.Charges.Monthly,account.Charges.Total,customer.gender_Male,customer.Partner_Yes,customer.Dependents_Yes,phone.PhoneService_Yes,phone.MultipleLines_No phone service,phone.MultipleLines_Yes,internet.InternetService_Fiber optic,internet.InternetService_No,internet.OnlineSecurity_No internet service,internet.OnlineSecurity_Yes,internet.OnlineBackup_No internet service,internet.OnlineBackup_Yes,internet.DeviceProtection_No internet service,internet.DeviceProtection_Yes,internet.TechSupport_No internet service,internet.TechSupport_Yes,internet.StreamingTV_No internet service,internet.StreamingTV_Yes,internet.StreamingMovies_No internet service,internet.StreamingMovies_Yes,account.Contract_One year,account.Contract_Two year,account.PaperlessBilling_Yes,account.PaymentMethod_Credit card (automatic),account.PaymentMethod_Electronic check,account.PaymentMethod_Mailed check,Churn
0,1.0980400489190976,-0.7989951447224073,0.1860530903919048,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,0
0,1.8515654725228476,1.7029436866172922,2.9414290923767563,False,True,True,True,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,True,False,False,0
0,-0.9532236042244444,0.0309077497513059,-0.7830983316730952,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0
0,1.8515654725228476,1.1613228502239215,2.392072498138257,False,False,False,True,False,True,True,False,False,True,False,True,False,True,False,False,False,True,False,False,False,True,True,False,False,False,0
0,1.181765095986181,-0.8042366366875047,0.2317983425512042,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,0
0,1.809702948989306,0.9673876475153275,2.202819036543003,False,True,True,True,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,True,True,False,False,0
0,0.26078957824826404,-0.23815550445701386,-0.028703751362476486,False,True,True,False,True,False,False,False,False,True,False,False,False,True,False,True,False,True,False,True,True,False,False,False,False,True,0
1,-1.1206736983586112,0.14097908101834547,-0.9114883211588641,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0
1,0.7212773371172225,-0.1874877487944081,0.33813135460205224,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,True,False,False,1
1,-1.1206736983586112,-1.5013550680454237,-0.9330857782305575,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,1
1,0.9305899547849309,-1.497860740068692,-0.34434828886345964,False,True,False,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,0
0,-0.6183234159561111,0.9097312358992587,-0.38602678580819566,False,True,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,1
0,-0.19969818062069433,0.5480682903075565,-0.09453004339481864,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,0
0,-1.0369486512915278,-1.6848072868238235,-0.9183351745709541,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,True,0
0,-0.9950861277579861,-1.6673356469401663,-0.9095353596151472,False,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,True,1
0,-1.1206736983586112,-1.3126613573019268,-0.930604368269129,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
0,1.1399025724526393,1.2451867216654757,1.6547720753397024,False,True,True,True,False,False,True,False,False,False,False,True,False,True,False,True,False,True,False,True,True,False,True,False,False,False,0
0,1.0980400489190976,-1.6655884829518006,-0.4434668312116356,True,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False,0
0,-0.07411061002006931,-1.693543106765652,-0.7277950559586632,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,0
0,1.7259779019222226,-1.6900487787889205,-0.3027157439550463,False,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,0
0,0.3863771488488891,0.8083957245740477,0.5476956162519626,True,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,False,False,0
0,0.8887274312513892,-1.663841318963435,-0.530637844115896,False,True,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,0
0,1.6003903313215977,1.6680004068499779,2.704959913459875,True,True,False,True,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,False,False,False,0
0,1.6422528548551394,-1.6603469909867037,-0.3273000833877186,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,0
0,-0.32528575122131936,-1.0016661673728302,-0.5653316315395737,True,True,True,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,True,True,False,False,0
0,0.6375522900501391,-1.5013550680454237,-0.45286402263963826,False,False,True,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,True,False,0
0,1.1399025724526393,0.7594751328998076,1.3344174541156373,False,True,False,True,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,0
0,1.3073526665868058,0.9324443677480132,1.6276144218729558,False,True,False,True,False,True,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,0
0,-0.6601859394896528,-1.669082810928532,-0.8414574178029901,False,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,0
0,-0.03224808648652765,0.2685220521690426,-0.05820495868168325,True,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0
1,-1.0788111748250695,-0.6574748616647847,-0.9027574342575413,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,1
0,-0.03224808648652765,0.3541330875989626,0.010700119784283202,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,True,False,False,False,False,True,0
0,-0.115973133553611,-1.487377756138498,-0.6548461982962945,True,True,True,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False,0
0,-0.115973133553611,-0.22592535653845383,-0.20433243418803443,True,True,True,True,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,False,0
0,0.0514769605805557,-0.8059838006758703,-0.3736886640555367,True,False,True,False,True,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False,True,0
0,1.8515654725228476,0.5969888819817967,1.9578027788700902,True,True,False,True,False,True,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,False,0
0,-0.5764608924225694,-0.5805996461766934,-0.6101578429724183,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,0
0,0.30265210178180574,1.0896891267009274,0.6784061835720304,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,True,True,False,True,False,True,False,0
0,-1.1206736983586112,-0.8304440965129903,-0.9242629872565892,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0
0,0.0514769605805557,0.9132255638759905,0.2536255598045114,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,True,False,0
0,1.5166652842545143,0.460710090889271,1.6137828589398078,True,False,False,True,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,True,False,0
0,0.4701021959159724,1.1141494225380475,0.7865772770757885,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,True,False,False,0
1,0.5119647194495142,0.8206258724926075,0.7434742670050472,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,0
0,0.5119647194495142,1.273141345479327,0.9103950389474436,True,False,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,True,False,False,1
1,-0.7020484630231945,0.9411801876898418,-0.42981907642377826,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,True,False,1
0,-0.9113610806909028,-0.619037253920739,-0.800077609094352,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0
0,0.09333948411409737,-0.12458984521324257,-0.07683850941055914,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,0
0,-0.03224808648652765,-1.700531762719115,-0.7011658509096285,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,True,False,0
1,1.7678404254557643,1.2836243294095213,2.41399161946421,True,True,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,True,False,True,False,True,False,0
0,1.2236276195197227,1.444363416339167,1.9286232358051427,False,True,False,True,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,True,True,False,True,False,False,False,0
0,1.2654901430532641,-0.6207844179091049,0.3781326022210079,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,0
0,-0.49273584535548604,0.1165187851812259,-0.387635107079492,True,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,0
0,1.7259779019222226,1.674989062803441,2.815566464888739,False,True,False,True,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,True,False,0
0,-1.1206736983586112,-1.6848072868238235,-0.935498260137502,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,True,False,1
0,-1.1206736983586112,1.1071607665845844,-0.8987825831156232,True,False,True,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False,1
1,0.17706453118118073,0.9044897439341619,0.37027480400981716,True,True,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,True,0
0,-0.49273584535548604,0.7944184126671219,-0.2818994715008397,True,True,True,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,0
0,0.8887274312513892,0.569034258167945,0.9207342471200627,True,True,False,True,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,True,True,False,False,False,True,False,1
0,1.809702948989306,-0.34298534375895656,0.9605057345574044,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,0
0,0.2189270547147224,1.3797183487696354,0.7305617447983539,False,False,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,True,False,0
0,-0.743910986556736,-1.6813129588470919,-0.8583447911516014,False,True,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,False,0
0,-0.28342322768777767,1.5072613199203326,0.120134894286917,True,True,False,True,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,1
0,0.3863771488488891,-0.9737115435589786,-0.2788666371035381,True,True,True,False,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1
1,-0.07411061002006931,0.6197020138305507,0.0634071054464798,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,0
0,0.9305899547849309,-1.141439286442087,-0.14096457609895946,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,0
0,-0.8694985571573611,0.2021298206111454,-0.709689953647499,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,1
0,1.3910777136538892,0.7000715572953733,1.5950344281201247,False,True,True,True,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,0
0,-0.5345983688890277,1.163070014212287,-0.2305480709101644,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False,True,False,1
0,-0.07411061002006931,-0.778029176862019,-0.41754988272560345,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,0
0,1.8515654725228476,0.928950039771282,2.155924983475635,True,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False,0
0,0.6794148135836808,-1.6620941549750692,-0.5471116491376026,True,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,0
0,1.6003903313215977,0.7454978209928822,1.8018875196269926,True,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,0
0,-1.0788111748250695,0.6354264897258421,-0.8611478653672893,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,1
1,0.6794148135836808,0.23707310037845963,0.5571157836981268,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,True,False,False,False,False,False,0
0,-0.6601859394896528,0.757727968911442,-0.46102050908692677,False,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,1
1,1.7259779019222226,1.4635822202111899,2.563473593622122,True,True,False,True,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False,True,False,0
0,-1.1206736983586112,0.42401964713359114,-0.9077662062167212,False,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,1
0,-1.0369486512915278,-1.6848072868238235,-0.9153253161918139,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,True,1
0,-1.0788111748250695,0.7786939367718304,-0.8570811101527258,False,True,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,0
1,-0.03224808648652765,0.6424151456793051,0.1587116287798674,False,False,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,0
0,-0.07411061002006931,-1.669082810928532,-0.709689953647499,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,True,False,0
1,0.4701021959159724,1.1595756862355557,0.8700951030923901,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,True,False,0
0,-0.115973133553611,0.9306972037596476,0.14081331063215538,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,1
0,-1.1206736983586112,0.09904714529756878,-0.9120397455947371,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1
0,-0.241560704154236,-0.48450562681657916,-0.4149306166552066,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,1
0,1.8515654725228476,1.6365514550593954,2.959786930887696,False,False,False,True,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,True,False,0
0,-0.15783565708715266,-1.6952902707540178,-0.7285532645579886,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,False,0
0,-0.367148274754861,0.6563924575862305,-0.2257460831144368,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,0
0,1.809702948989306,-1.4926192481035951,-0.09563289226656474,True,True,True,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False,0
1,0.2189270547147224,1.4618350562228242,0.7531701466691477,True,True,False,True,False,True,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,False,True,False,False,False,0
0,-1.0369486512915278,-1.6813129588470919,-0.9179675582803721,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,True,0
0,0.8050023841843058,0.6686226055047908,0.9014803439008297,True,True,True,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,0
0,1.432940237187431,1.4006843166300242,2.1919054279163492,True,True,True,True,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,0
0,1.809702948989306,1.685472046733635,2.8737876949096655,True,False,False,True,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False,True,False,False,False,0
1,-0.8694985571573611,0.7315205090859563,-0.6664031354314666,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,0
0,-0.03224808648652765,0.2213486244831686,-0.03828475093577033,False,True,True,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0
0,-1.0788111748250695,-1.6778186308703606,-0.9291339031068008,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,True,0
0,-0.115973133553611,-1.153669434360647,-0.5565777686200895,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,0
1,0.09333948411409737,0.23357877240172842,0.025565603534693622,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,True,False,True,False,0
1,1.2654901430532641,1.3080846252466414,1.9069338746608033,False,True,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False,True,False,True,True,False,True,True,False,False,1
0,-0.743910986556736,0.600483209958528,-0.5515919726790709,True,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,1
0,-0.7857735100902777,0.2493032482970199,-0.6533527571158051,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,0
1,-0.9113610806909028,0.569034258167945,-0.7263935188508193,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,1
0,1.7259779019222226,0.5725285861446766,1.7429310570249021,False,True,True,True,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,0
1,1.6003903313215977,1.1997604579679675,2.0293271234064534,False,False,False,True,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,True,False,False,False,0
0,1.7678404254557643,1.6592645869081495,2.7901779648204186,False,False,False,True,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,False,1
0,-0.115973133553611,-1.4943664120919609,-0.6338231416786355,True,False,False,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,1
0,0.7631398606507641,-1.705773254684212,-0.547502241446346,False,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,True,0
0,1.0980400489190976,1.6278156351175668,1.8352486979973106,False,True,False,True,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False,True,False,False,True,0
0,-0.5345983688890277,1.2941073133397154,-0.21731388444921185,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,False,True,False,1
0,-0.6601859394896528,-1.700531762719115,-0.8535887553921967,False,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,0
0,-0.241560704154236,-0.619037253920739,-0.4396757882150086,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,True,False,0
0,1.7678404254557643,-0.3587098196542481,0.9115208638373511,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,0
0,0.09333948411409737,0.5672870941795793,0.1759666184190606,True,False,False,True,False,False,True,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,0
0,1.809702948989306,1.1351153903984357,2.324293244562198,True,True,True,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,True,False,False,False,False,False,0
0,0.09333948411409737,-1.6865544508121892,-0.6796373218924191,True,True,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,0
0,-0.9950861277579861,0.5847587340632364,-0.7737241162632538,True,True,True,True,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,1
0,-1.0788111748250695,0.6214491778189163,-0.8677419825796042,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,1
0,-0.743910986556736,-1.6813129588470919,-0.8437550196191277,True,False,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,0
1,-0.9950861277579861,0.25454474026211676,-0.8189868720411644,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0
1,1.0143150018520142,-0.6731993375600762,0.22947776471690537,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True,True,False,False,0
0,-0.9532236042244444,-0.7308557491761447,-0.8420777702933473,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
0,-0.8276360336238194,-1.6743243028936292,-0.8685691192334137,True,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,True,0
1,-1.0788111748250695,-0.8304440965129903,-0.9035845709113508,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0
0,-1.0369486512915278,0.5672870941795793,-0.8366094779709399,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,0
0,-0.367148274754861,-0.29755908006144816,-0.41865273159734956,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,0
0,1.8515654725228476,0.05536804558842597,1.310821083463904,True,False,False,True,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,0
1,1.4748027607209726,-1.116978990604967,0.11177162367617623,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,0
0,1.6003903313215977,-0.40064175537502505,0.7965948209941484,True,True,False,False,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,True,True,False,False,False,0
0,-1.1206736983586112,0.27376354413414,-0.9097421437785995,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,1
0,1.3492151901203475,0.3890763673662769,1.2449947914315618,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,0
0,0.8468649077178475,-0.8059838006758703,0.06462483440903277,False,True,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,True,False,False,0
0,-1.1206736983586112,0.6109661938887221,-0.9053077722734539,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,1
0,-0.5345983688890277,0.8835237760737731,-0.28077364661093224,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,1
0,0.9305899547849309,1.4530992362809956,1.5394554401877565,False,True,False,True,False,True,True,False,False,True,False,True,False,False,False,True,False,True,False,True,False,False,True,False,False,False,0
0,1.8515654725228476,0.7559808049230764,1.968417699260646,True,True,True,True,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,0
0,0.7631398606507641,0.5655399301912137,0.8234308102066354,False,False,False,True,False,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0
0,1.8515654725228476,0.8590634802366536,2.1493308662633197,False,True,True,True,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,0
0,-1.1206736983586112,-1.6900487787889205,-0.9355671881919861,True,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,True,0
0,-1.1206736983586112,-0.6277730738625676,-0.9215977691498696,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0
1,1.6422528548551394,0.8520748242831906,1.8772258831781445,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,True,False,False,False,0
0,0.8468649077178475,0.4048008432615684,0.8338619224519003,False,True,True,True,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,False,True,False,0
0,1.8515654725228476,1.4618350562228242,2.5588554139716857,False,False,False,True,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,True,False,0
0,1.0143150018520142,0.46595158285436833,1.0563387063085037,True,True,False,True,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,True,True,False,True,True,False,False,0
0,1.6422528548551394,-0.6120485979672764,0.6323392671584716,False,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,0
0,0.00961443704701403,0.453721434935808,0.07877806159644024,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,1
